Code,Entity,PredefinedType,Name,Entity_NL,Definition,Definition_NL,Description_NL,ParentClassCode,Uid,Domain
IfcCableFitting,IfcCableFitting,,Cable Fitting,Kabel koppelstuk,"A cable fitting is a fitting that is placed at a junction, transition or termination in a cable system.; >","Een kabelaansluiting is een pasvorm die op een kruispunt, overgang of beëindiging in een kabelsysteem staat.",,IfcFlowFitting,a981fcc0-253f-4511-8e27-f490e28f4ada,IfcElectricalDomain
IfcCableSegment,IfcCableSegment,,Cable Segment,Kabel,"A cable segment is a flow segment used to carry electrical power, data, or telecommunications signals.; A cable segment is used to typically join two sections of an electrical network or a network of components carrying the electrical service.; >","Een kabelsegment is een stroomsegment dat gebruikt wordt voor het dragen van elektriciteit, data of telecommunicatiesignalen.",,IfcFlowSegment,a16f4db3-e5ef-49a6-98e0-f7c2116a5580,IfcElectricalDomain
IfcCommunicationsAppliance,IfcCommunicationsAppliance,,Communications Appliance,Toestel voor communicatie,A communications appliance transmits and receives electronic or digital information as data or sound.; Communication appliances may be fixed in place or may be able to be moved from one space to another. Communication appliances require an electrical supply that may be supplied either by an electrical circuit or provided from a local battery source.; >,Een communicatiemiddel zendt elektronische of digitale informatie uit als gegevens of geluid.,,IfcFlowTerminal,9abafcf8-704e-46c5-95c9-c9134e1a3e62,IfcElectricalDomain
IfcDistributionBoard,IfcDistributionBoard,,Distribution Board,Distributie bord,"A distribution board is a flow controller in which instances of electrical or communication devices are brought together at a single place for a particular purpose.; A distribution provides a housing for connected distribution elements so that they can be viewed, operated or acted upon from a single place. Each connected item may have its own geometric representation and location.; [[Attributes]]; PredefinedType; Formal Propositions; CorrectPredefinedType; Either the _PredefinedType_ attribute is unset(e.g. because an _IfcDistributionBoardType_ is associated), or the inherited attribute _ObjectType_ shall be provided, if the _PredefinedType_ is set to [[USERDEFINED]].; CorrectTypeAssigned; Either there is no type object associated, i.e. the _IsTypedBy_ inverse relationship is not provided, or the associated type object has to be of type _IfcDistributionBoardType_.;",Een distributiekanaal is een stroomcontroleur waarbij elektrische of communicatiemiddelen op één plaats worden samengebracht voor een bepaald doel.,,IfcFlowController,a721822d-2cbd-456f-8867-a69515d99d8f,IfcElectricalDomain
IfcElectricAppliance,IfcElectricAppliance,,Electric Appliance,Elektrische apparaat,An electric appliance is a device intended for consumer usage that is powered by electricity.; Electric appliances may be fixed in place or may be able to be moved from one space to another. Electric appliances require an electrical supply that may be supplied either by an electrical circuit or provided from a local battery source.; >,Een elektrische apparaat is een apparaat dat is bedoeld voor verbruiksgebruik dat wordt gevoed door elektriciteit.,,IfcFlowTerminal,bc624491-56a2-49ed-bb31-ca4b61c8deb5,IfcElectricalDomain
IfcElectricFlowStorageDevice,IfcElectricFlowStorageDevice,,Electric Flow Storage Device,Elektrische flow opslagapparaat,An electric flow storage device is a device in which electrical energy is stored and from which energy may be progressively released.; >,Een elektrische stroomopslagapparaat is een apparaat waarin elektrische energie wordt opgeslagen en waaruit geleidelijk energie kan worden vrijgegeven.,,IfcFlowStorageDevice,f2443c0e-5c57-46d2-83fe-668bd3d3367a,IfcElectricalDomain
IfcElectricFlowTreatmentDevice,IfcElectricFlowTreatmentDevice,,Electric Flow Treatment Device,Elektrisch Stroom Behandeling Apparaat,"An electric flow treatment device is used to remove unwanted matter from an electric or electronic signal in a flow distribution system.; [[Attributes]]; PredefinedType; Formal Propositions; CorrectPredefinedType; Either the _PredefinedType_ attribute is unset(e.g. because an _IfcElectricFlowTreatmentDeviceType_ is associated), or the inherited attribute _ObjectType_ shall be provided, if the _PredefinedType_ is set to [[USERDEFINED]].; CorrectTypeAssigned; Either there is no type object associated, i.e. the _IsTypedBy_ inverse relationship is not provided, or the associated type object has to be of type _IfcElectricFlowTreatmentDeviceType_.;",Een elektrische stroomverwerkingsapparaat wordt gebruikt om ongewenste stoffen uit een elektrisch of elektronisch signaal in een stroomdistributiesysteem te verwijderen.,,IfcFlowTreatmentDevice,766f42c3-db3e-4c48-bc16-2daec634f10f,IfcElectricalDomain
IfcElectricGenerator,IfcElectricGenerator,,Electric Generator,Elektrische Generator,An electric generator is an engine that is a machine for converting mechanical energy into electrical energy.; >,Een elektrische generator is een motor die een machine is voor het omzetten van mechanische energie in elektrische energie.,,IfcEnergyConversionDevice,ae4d0c52-31d6-4d0e-9fc5-52a5d00577ab,IfcElectricalDomain
IfcElectricMotor,IfcElectricMotor,,Electric Motor,Elektrische Motor,An electric motor is an engine that is a machine for converting electrical energy into mechanical energy.; >,Een elektrische motor is een motor die een machine is om elektrische energie in mechanische energie om te zetten.,,IfcEnergyConversionDevice,71aa25c6-a4a6-41fc-aca4-a67875c0775c,IfcElectricalDomain
IfcElectricTimeControl,IfcElectricTimeControl,,Electric Time Control,Elektrische tijdcontrole,An electric time control is a device that applies control to the provision or flow of electrical energy over time.; >,Een elektrische tijdcontrole is een apparaat dat na verloop van tijd de controle op de voorziening of stroom van elektrische energie toepast.,,IfcFlowController,22f3011b-86c8-4c48-b29c-49619710ec39,IfcElectricalDomain
IfcJunctionBox,IfcJunctionBox,,Junction Box,Junction Box,"A junction box is an enclosure within which cables are connected.; Cables may be members of an electrical circuit (for electrical power systems) or be information carriers (in a telecommunications system). A junction box is typically intended to conceal a cable junction from sight, eliminate tampering or provide a safe place for electrical connection.; >",Een kruisdoos is een kast waarin kabels zijn aangesloten.,,IfcFlowFitting,15740639-43f5-4ce5-88d8-fe78d6a98f3c,IfcElectricalDomain
IfcLamp,IfcLamp,,Lamp,Lamp,A lamp is an artificial light source such as a light bulb or tube.; >,Een lamp is een kunstmatige lichtbron zoals een gloeilamp of buis.,,IfcFlowTerminal,7e9a3b99-a029-4ddf-b40f-2d971a9359c2,IfcElectricalDomain
IfcLightFixture,IfcLightFixture,,Light Fixture,Lichte Fixture,"A light fixture is a container that is designed for the purpose of housing one or more lamps and optionally devices that control, restrict or vary their emission.; >",Een lichtfixatie is een container die is ontworpen om een of meer lampen en optioneel bedienende apparaten te huisvesten beperken of variëren van hun emissie.,,IfcFlowTerminal,4b24357d-355f-45c6-a45d-60de71e8c1fb,IfcElectricalDomain
IfcMobileTelecommunicationsAppliance,IfcMobileTelecommunicationsAppliance,,Mobile Telecommunications Appliance,Mobiele Telecommunicatie-apparaat,"A mobile telecommunications appliance is a device that transmits, converts, amplifies or receives signals used in mobile networks.;This entity is used to define specific appliances used in mobile telecommunication networks. General communications appliances and those used in fixed transmission networks should be instantiated using [[IfcCommunicationsAppliance]].; [[Attributes]]; PredefinedType; Formal Propositions; CorrectPredefinedType; Either the _PredefinedType_ attribute is unset(e.g. because an _IfcMobileTelecommunicationsApplianceType_ is associated), or the inherited attribute _ObjectType_ shall be provided, if the _PredefinedType_ is set to [[USERDEFINED]].; CorrectTypeAssigned; Either there is no type object associated, i.e. the _IsTypedBy_ inverse relationship is not provided, or the associated type object has to be of type _IfcMobileTelecommunicationsApplianceType_.;","Een mobiel telecommunicatieapparaat is een apparaat dat signalen die worden gebruikt in mobiele netwerken verzendt, omzet, uitbreidt of ontvangt. Deze entiteit wordt gebruikt om specifieke apparaten in mobiele telecommunicatienetwerken te definiëren. Algemene communicatie-apparaten en apparaten die in vaste transmissienetwerken worden geïnstantieerd met [[IfcCommunicationsAppliance]].",,IfcFlowTerminal,0c9eab05-74e7-4cf8-a5e4-3b8a1b697d9a,IfcElectricalDomain
IfcMotorConnection,IfcMotorConnection,,Motor Connection,Motor verbinding,A motor connection provides the means for connecting a motor as the driving device to the driven device.; >,Een motorverbinding biedt de middelen om een motor als rijder apparaat aan te sluiten op het gemotoriseerde apparaat.,,IfcEnergyConversionDevice,bcce8211-26c2-4b8d-995d-b68177b22846,IfcElectricalDomain
IfcOutlet,IfcOutlet,,Outlet,Contactdoos,"An outlet is a device installed at a point to receive one or more inserted plugs for electrical power or communications.; [[Power]] outlets are commonly connected within a junction box; data outlets may be directly connected to a wall. For power outlets sharing the same circuit within a junction box, the ports should indicate the logical wiring relationship to the enclosing junction box, even though they may be physically connected to a cable going to another outlet, switch, or fixture.; >",Een uitlaat is op een punt geïnstalleerd om één of meer aangesloten stekkers te ontvangen voor stroom of communicatie.,,IfcFlowTerminal,323a5119-6f96-4712-87e3-abaf2ac04b6f,IfcElectricalDomain
IfcProtectiveDevice,IfcProtectiveDevice,,Protective Device,Beschermend apparaat,"A protective device breaks an electrical circuit when a stated electric current that passes through it is exceeded.; A protective device provides protection against electrical current only (not as a general protective device). It may be used to represent the complete set of elements including both the tripping unit and the breaking unit that provide the protection. This may be particularly useful at earlier stages of design where the approach to breaking the electrical supply may be determined but the method of tripping may not. Alternatively, this entity may be used to specifically represent the breaking unit alone (in which case the tripping unit will also be specifically identified). This entity is specific to dedicated protective devices and excludes electrical outlets that may have circuit protection.; >","Een beschermend apparaat breekt een elektrisch circuit wanneer een vermelde elektrische stroom die erdoorheen gaat, wordt overschreden.",,IfcFlowController,a1202643-3e89-4bf3-9677-82067cb12ecb,IfcElectricalDomain
IfcProtectiveDeviceTrippingUnit,IfcProtectiveDeviceTrippingUnit,,Protective Device Tripping Unit,,A protective device tripping unit breaks an electrical circuit at a separate breaking unit when a stated electric current that passes through the unit is exceeded.; >,,,IfcDistributionControlElement,a8488154-175e-4eda-b9b6-157a9fa9cafe,
IfcSolarDevice,IfcSolarDevice,,Solar Device,Zonne-energie apparaat,A solar device converts solar radiation into other energy such as electric current or thermal energy.; >,Een zonneapparaat zet zonnestraling om in andere energie zoals stroom- of thermische energie.,,IfcEnergyConversionDevice,509208ea-e863-454b-9bd2-3fdf0c7dbac6,IfcElectricalDomain
IfcSwitchingDevice,IfcSwitchingDevice,,Switching Device,Schakelen van apparaat,"A switch is used in a cable distribution system (electrical circuit) to control or modulate the flow of electricity.; Switches include those used for electrical power, communications, audio-visual, or other distribution system types as determined by the available ports.; >",Er wordt een schakelaar gebruikt in een kabeldistributiesysteem (elektrisch circuit) om de stroom van elektriciteit te controleren of te moduleren.,,IfcFlowController,ddf82f58-8d9d-4781-b90f-d27aca153c7f,IfcElectricalDomain
IfcTransformer,IfcTransformer,,Transformer,Transformator,"A transformer is an inductive stationary device that transfers electrical energy from one circuit to another.; _IfcTransformer_ is used to transform electric power;_IfcController_ converts arbitrary signals, _IfcAudioVisualAppliance_ converts signals for audio or video streams, and _IfcCommunicationsAppliance_ converts signals for data or other communications usage.; >",Een transformator is een inductief stationair apparaat dat elektrische energie van het ene circuit naar het andere stuurt.,,IfcEnergyConversionDevice,328058af-09ed-4f92-a541-5232e28d6f02,IfcElectricalDomain
IfcAirTerminal,IfcAirTerminal,,Air Terminal,Ventilatieopening,An air terminal is a terminating or origination point for the transfer of air between distribution system(s) and one or more spaces. It can also be used for the transfer of air between adjacent spaces.; >,Een luchtterminal is een eindpunt of origineel punt voor het overbrengen van lucht tussen distributiesysteem en een of meer ruimten. Het kan ook worden gebruikt voor het overbrengen van lucht tussen aangrenzende ruimten.,,IfcFlowTerminal,d5bfe2e5-0796-4a25-98a1-7484e7d2f7e8,IfcHvacDomain
IfcAirTerminalBox,IfcAirTerminalBox,,Air Terminal Box,Ventilatieunit,An air terminal box typically participates in an HVAC duct distribution system and is used to control or modulate the amount of air delivered to its downstream ductwork. An air terminal box type is often referred to as an 'air flow regulator'.; >,Een luchtterminalbox neemt doorgaans deel aan een HVAC kanaal distributie systeem en wordt gebruikt om de hoeveelheid lucht geleverd in de stroomafwaarts gelegen ductwork te beheren of aan te passen. Een air terminaltype wordt vaak aangeduid als een 'air flow regulator'.,,IfcFlowController,5c94650b-db68-4716-a299-3069c0a7a43b,IfcHvacDomain
IfcAirToAirHeatRecovery,IfcAirToAirHeatRecovery,,Air to Air Heat Recovery,Lucht naar luchtwarmteherstel,"An air-to-air heat recovery device employs a counter-flow heat exchanger between inbound and outbound air flow. It is typically used to transfer heat from warmer air in one chamber to cooler air in the second chamber (i.e., typically used to recover heat from the conditioned air being exhausted and the outside air being supplied to a building), resulting in energy savings from reduced heating (or cooling) requirements.; >","Een apparaat voor lucht-warmte gebruikt een warmtewisselende tegenstroom tussen inkomende en uitgaande luchtstroom. Het wordt meestal gebruikt om warmte van warmere lucht in één kamer naar koele lucht in de tweede kamer te verplaatsen. ., meestal gebruikt om warmte te herstellen uit de geëigende lucht die uitgeput is en de buitenlucht wordt geleverd aan een gebouw), resulteert in energiebesparende vereisten voor lagere verwarming (of koeling)",,IfcEnergyConversionDevice,c3b0db60-6c85-4fba-9efe-5d2a04a9e3d3,IfcHvacDomain
IfcBoiler,IfcBoiler,,Boiler,Ketel,"A boiler is a closed, pressure-rated vessel in which water or other fluid is heated using an energy source such as natural gas, heating oil, or electricity. The fluid in the vessel is then circulated out of the boiler for use in various processes or heating applications.; _IfcBoiler_ is a vessel solely used for heating of water or other fluids. Storage vessels, such as for drinking water storage are considered as tanks and use the _IfcTank_ entity.; >",Een ketel is een gesloten schip met druk op de ketel waar water of andere vloeistof wordt verwarmd met behulp van een energiebron zoals aardgas. verwarming olie of elektriciteit. De vloeistof in het schip wordt vervolgens via de ketel verspreid voor gebruik in verschillende processen of verwarmingstoepassingen.,,IfcEnergyConversionDevice,bf8bb360-a4b6-4854-88b5-78c7f9524139,IfcHvacDomain
IfcBurner,IfcBurner,,Burner,Brander,"A burner is a device that converts fuel into heat through combustion. It includes gas, oil, and wood burners.; >","Een verbrandingsinstallatie is een apparaat dat brandstof omzet in warmte door verbranding. Het omvat gas, olie en houtverbrandingen.",,IfcEnergyConversionDevice,8801203d-3144-4447-8539-793ff1689a2d,IfcHvacDomain
IfcChiller,IfcChiller,,Chiller,Koeltjes,"A chiller is a device used to remove heat from a liquid via a vapor-compression or absorption refrigeration cycle to cool a fluid, typically water or a mixture of water and glycol. The chilled fluid is then used to cool and dehumidify air in a building.; >",Een koelkast is een apparaat dat gebruikt wordt om hitte van een vloeistof te verwijderen via een vapor-compressie of absorptie koelcyclus om een vloeistof te koelen. Meestal water of een mengsel van water en glycol. De koelvloeistof wordt dan gebruikt om de lucht in een gebouw te koelen en te ontvochtigen.,,IfcEnergyConversionDevice,bf2c24c4-224c-4662-8805-9a9d469e11d1,IfcHvacDomain
IfcCoil,IfcCoil,,Coil,Koel,"A coil is a device used to provide heat transfer between non-mixing media. A common example is a cooling coil, which utilizes a finned coil in which circulates chilled water, antifreeze, or refrigerant that is used to remove heat from air moving across the surface of the coil. A coil may be used either for heating or cooling purposes by placing a series of tubes (the coil) carrying a heating or cooling fluid into an airstream. The coil may be constructed from tubes bundled in a serpentine form or from finned tubes that give a extended heat transfer surface.; Coils may also be used for non-airflow cases such as embedded in a floor slab.; >","Een spoel is een apparaat dat wordt gebruikt om warmteoverdracht tussen niet-mengende media aan te bieden. Een algemeen voorbeeld is een koelkoelkast, dat gebruik maakt van een bevinde olie die koelwater circuleert. antivries, of koelmiddel dat wordt gebruikt om warmte te verwijderen uit de lucht die over het oppervlak van de kol beweegt. Een spoel kan worden gebruikt voor het verwarmen of koelen door een reeks buizen (de koek) te plaatsen met een verwarmings- of koelvloeistof in een luchtstroom. De spoel kan worden gebouwd uit buizen gebundeld in een serpentine vorm of uit bevinde buizen die een uitgebreid oppervlak voor warmteoverdracht geven.",,IfcEnergyConversionDevice,e4ba657e-5119-477a-adcc-96b3366a3658,IfcHvacDomain
IfcCompressor,IfcCompressor,,Compressor,Compressor,A compressor is a device that compresses a fluid typically used in a refrigeration circuit.; >,Een compressor is een apparaat dat een vloeistof gewoonlijk gebruikt in een koelcircuit comprimeert.,,IfcFlowMovingDevice,d8aab68b-f996-419d-8d96-d62a306be289,IfcHvacDomain
IfcCondenser,IfcCondenser,,Condenser,Condensator,"A condenser is a device that is used to dissipate heat, typically by condensing a substance such as a refrigerant from its gaseous to its liquid state.; >","Een condensor is een apparaat dat wordt gebruikt om hitte te ontwrichten, Meestal door een stof als een koelmiddel uit zijn gasschuld naar zijn vloeibare staat te condenseren.",,IfcEnergyConversionDevice,598194a7-9978-4f28-b096-33a0f47da50d,IfcHvacDomain
IfcCooledBeam,IfcCooledBeam,,Cooled Beam,Gekookte Straal,"A cooled beam (or chilled beam) is a device typically used to cool air by circulating a fluid such as chilled water through exposed finned tubes above a space. Typically mounted overhead near or within a ceiling, the cooled beam uses convection to cool the space below it by acting as a heat sink for the naturally rising warm air of the space. Once cooled, the air naturally drops back to the floor where the cycle begins again.; >","Een gekoelde straal (of gekoelde straal) is een apparaat dat meestal gebruikt wordt om de lucht af te koelen door een vloeistof zoals gekoeld water te laten circuleren door de gelekte buizen boven een ruimte. Meestal gemonteerd overhead bij of binnen een plafond, de gekoelde straal gebruikt convectie om de ruimte eronder af te koelen door te handelen als een warmtesink voor de natuurlijk stijgende warme lucht van de ruimte. Als de lucht eenmaal is afgekoeld daalt de lucht natuurlijk terug naar de vloer waar de cyclus weer begint.",,IfcEnergyConversionDevice,05c51059-5e6d-460d-a7a5-86d1fe7054e6,IfcHvacDomain
IfcCoolingTower,IfcCoolingTower,,Cooling Tower,Koeling Toren,A cooling tower is a device which rejects heat to ambient air by circulating a fluid such as water through it to reduce its temperature by partial evaporation.; >,Een koeltoren is een apparaat dat hitte tot de lucht verwerpt door er een vloeistof als water via te laten circuleren om de temperatuur met gedeeltelijke verdamping te verlagen.,,IfcEnergyConversionDevice,2cb72f5c-1054-4ad5-a372-d1da32049541,IfcHvacDomain
IfcDamper,IfcDamper,,Damper,Klep,A damper typically participates in an HVAC duct distribution system and is used to control or modulate the flow of air.; >,Een demper neemt doorgaans deel aan een HVAC kanaal distributie systeem en wordt gebruikt om de luchtstroom te controleren of te moduleren.,,IfcFlowController,2b00b91e-76da-42f7-9746-994039edb1c4,IfcHvacDomain
IfcDuctFitting,IfcDuctFitting,,Duct Fitting,Fitend kanaal,"A duct fitting is a junction or transition in a ducted flow distribution system or used to connect duct segments, resulting in changes in flow characteristics to the fluid such as direction and flow rate.; >",Een kanaal is een overgang of overgang in een kanaal distributiesysteem of gebruikt om kanaalsegmenten te verbinden resulteert in veranderingen in stroomkenmerken van de vloeistof zoals richting en stroomsnelheid.,,IfcFlowFitting,760a81f2-5681-4856-8e70-144d4bd1d61a,IfcHvacDomain
IfcDuctSegment,IfcDuctSegment,,Duct Segment,Segment van kanaal,A duct segment is used to typically join two sections of duct network.; >,Een kanaalsegment wordt gebruikt om meestal deel te nemen aan twee delen van het kanaalnetwerk.,,IfcFlowSegment,69c85fcc-5dec-4731-af87-612401edf054,IfcHvacDomain
IfcDuctSilencer,IfcDuctSilencer,,Duct Silencer,Buis Silencer,"A duct silencer is a device that is typically installed inside a duct distribution system for the purpose of reducing the noise levels from air movement, fan noise, etc. in the adjacent space or downstream of the duct silencer device.; >",Een duct silencer is een apparaat dat meestal wordt geïnstalleerd in een kanaal distributiesysteem om de geluidsniveaus van de luchtbeweging te verminderen. ventilator etc. in de aangrenzende ruimte of stroomafwaarts van het apparaat van de buis geluiddemper.,,IfcFlowTreatmentDevice,a31bfbd0-af30-4a94-a395-16bd8b02ae79,IfcHvacDomain
IfcEngine,IfcEngine,,Engine,Motor,An engine is a device that converts fuel into mechanical energy through combustion.; >,Een motor is een apparaat dat brandstof omzet in mechanische energie door verbranding.,,IfcEnergyConversionDevice,0a9c68ca-5836-4bfb-918b-1ac3287c9e8d,IfcHvacDomain
IfcEvaporativeCooler,IfcEvaporativeCooler,,Evaporative Cooler,Vermogenswaardige Koeler,An evaporative cooler is a device that cools air by saturating it with water vapor.; >,Een verdampende koeler is een apparaat dat de lucht koelt door het met waterdampen te verzachten.,,IfcEnergyConversionDevice,00254f70-e0ef-4d79-91de-eade9f1c10c5,IfcHvacDomain
IfcEvaporator,IfcEvaporator,,Evaporator,Evaporator,An evaporator is a device in which a liquid refrigerent is vaporized and absorbs heat from the surrounding fluid.; >,Een verdamper is een apparaat waar een vloeibaar koelmiddel gevloeid is en warmte van de omliggende vloeistof absorbeert.,,IfcEnergyConversionDevice,0f1b28ab-b6cf-44c4-a618-801aad5fa5fa,IfcHvacDomain
IfcFan,IfcFan,,Fan,Ventilator,A fan is a device which imparts mechanical work on a gas. A typical usage of a fan is to induce airflow in a building services air distribution system.; >,Een ventilator is een apparaat dat mechanisch werk op een gas verricht. Een typisch gebruik van een fan is luchtstroom binnen een luchtdistributiesysteem voor gebouwen.,,IfcFlowMovingDevice,7dfc1ce2-90b4-40a6-bd33-b4d698233f5a,IfcHvacDomain
IfcFilter,IfcFilter,,Filter,Filteren,A filter is an apparatus used to remove particulate or gaseous matter from fluids and gases.; >,Een filter is een apparaat dat gebruikt wordt om zwevende deeltjes of gasvormige stoffen uit vloeistoffen en gassen te verwijderen.,,IfcFlowTreatmentDevice,fbd8918c-206e-4acf-a0db-5cf33829a98a,IfcHvacDomain
IfcFlowMeter,IfcFlowMeter,,Flow Meter,Stroom meter,A flow meter is a device that is used to measure the flow rate in a system.; >,Een stroommeter is een apparaat dat wordt gebruikt om de stroomsnelheid in een systeem te meten.,,IfcFlowController,b4df44ca-8253-4baf-a10c-f783b0ca3c80,IfcHvacDomain
IfcHeatExchanger,IfcHeatExchanger,,Heat Exchanger,Warmte wisselaar,"A heat exchanger is a device used to provide heat transfer between non-mixing media such as plate and shell and tube heat exchangers.; _IfcHeatExchanger_ is commonly used on water-side distribution systems to recover energy from a liquid to another liquid (typically water-based), whereas _IfcAirToAirHeatRecovery_ is commonly used on air-side distribution systems to recover energy from a gas to a gas (usually air).; >",Een warmtewisselaar is een apparaat dat gebruikt wordt voor warmteoverdracht tussen niet-mengende media zoals plaat en granaat voor warmtewisselaars.,,IfcEnergyConversionDevice,b3850b48-6a0f-456c-b37b-c32cb4a34566,IfcHvacDomain
IfcHumidifier,IfcHumidifier,,Humidifier,Bevochtiger,A humidifier is a device that adds moisture into the air.; >,Een bevochtiger is een apparaat dat vocht in de lucht toevoegt.,,IfcEnergyConversionDevice,531f610d-c46c-4d89-b0a1-27b05c101607,IfcHvacDomain
